cliente_id,edad,genero,region,antiguedad_dias,nivel_membresia
120,40,F,Oeste,1770,Bronce
121,41,M,Centro,1404,Bronce
122,54,M,Centro,1680,Bronce
123,52,F,Norte,1382,Bronce
124,61,M,Oeste,1212,Plata
125,57,M,Este,322,Plata
126,39,M,Oeste,450,Bronce
127,44,M,Sur,1498,Bronce
128,52,M,Este,1037,Plata
129,18,F,Centro,184,Plata
130,52,M,Este,111,Bronce
131,54,F,Centro,508,Oro
132,64,M,Centro,1314,Oro
133,31,F,Este,295,Bronce
134,20,F,Centro,1475,Bronce
135,18,M,Centro,904,Plata
136,22,F,Sur,1239,Oro
137,43,M,Oeste,974,Oro
138,31,Otro,Oeste,632,Bronce
139,56,M,Sur,1591,Bronce
140,44,M,Este,1051,Plata
141,26,M,Norte,1654,Plata
142,32,Otro,Norte,733,Bronce
143,32,F,Norte,1255,Oro
144,43,F,Sur,1589,Plata
145,59,M,Sur,321,Plata
146,30,F,Centro,913,Oro
147,49,M,Norte,1257,Plata
148,56,F,Este,1694,Bronce
149,49,M,Este,437,Plata
150,21,M,Norte,781,Bronce
151,47,M,Norte,1557,Plata
152,54,M,Norte,1427,Bronce
153,40,F,Sur,1077,Plata
154,56,M,Sur,1811,Bronce
155,62,F,Sur,1337,Bronce
156,32,M,Oeste,1305,Bronce
157,60,F,Este,726,Bronce
158,46,M,Este,31,Plata
159,53,M,Centro,337,Plata
160,30,F,Sur,183,Plata
161,49,M,Oeste,1047,Bronce
162,24,M,Oeste,544,Bronce
163,39,F,Este,1470,Bronce
164,45,F,Sur,1098,Bronce
165,19,M,Centro,1034,Oro
166,59,M,Sur,1508,Bronce
167,62,F,Norte,1480,Bronce
168,23,M,Sur,1590,Bronce
169,45,M,Norte,1588,Bronce
170,45,M,Norte,660,Plata
171,61,F,Centro,160,Plata
172,61,F,Este,1038,Bronce
173,37,M,Sur,1202,Bronce
174,47,M,Norte,412,Bronce
175,28,M,Sur,1012,Bronce
176,45,F,Este,53,Bronce
177,42,M,Este,408,Oro
178,56,M,Oeste,847,Plata
179,50,F,Este,1046,Plata
180,18,M,Centro,1054,Bronce
181,44,F,Norte,703,Bronce
182,30,M,Oeste,260,Plata
183,58,M,Centro,1229,Plata
184,20,M,Sur,1083,Plata
185,56,F,Norte,1495,Bronce
186,23,F,Este,776,Plata
187,25,F,Norte,1490,Bronce
188,44,M,Sur,1036,Oro
189,26,F,Oeste,1655,Plata
190,54,M,Oeste,1314,Plata
191,50,M,Oeste,850,Bronce
192,59,F,Este,1784,Plata
193,61,M,Centro,354,Bronce
194,41,M,Centro,1663,Bronce
195,32,M,Norte,1099,Bronce
196,49,M,Este,873,Plata
197,49,M,Oeste,1740,Bronce
198,41,F,Oeste,1585,Bronce
199,58,M,Sur,1615,Oro
200,29,F,Sur,1465,Bronce
201,56,F,Oeste,991,Plata
202,19,M,Oeste,1265,Bronce
203,20,M,Este,1018,Bronce
204,54,M,Centro,1178,Plata
205,34,F,Sur,1810,Bronce
206,19,M,Centro,1120,Bronce
207,19,F,Este,1750,Plata
208,45,M,Oeste,294,Plata
209,40,F,Centro,209,Plata
210,54,M,Oeste,1367,Bronce
211,49,M,Oeste,1112,Bronce
212,50,F,Norte,818,Plata
213,18,F,Centro,1800,Plata
214,36,M,Centro,390,Plata
215,19,F,Oeste,325,Plata
216,61,F,Este,940,Plata
217,43,F,Norte,889,Bronce
218,49,F,Oeste,1181,Bronce
219,23,M,Sur,668,Plata
220,49,M,Sur,1675,Bronce
221,21,M,Norte,633,Bronce
222,28,F,Este,577,Oro
223,34,F,Oeste,1643,Oro
224,55,M,Centro,1683,Bronce
225,41,M,Norte,137,Bronce
226,22,F,Este,1698,Bronce
227,51,Otro,Centro,428,Plata
228,23,F,Sur,1476,Oro
229,39,M,Sur,612,Bronce
230,28,M,Centro,911,Bronce
231,33,M,Norte,819,Oro
232,50,F,Sur,141,Bronce
233,26,M,Oeste,1107,Plata
234,23,F,Centro,177,Oro
235,33,M,Centro,198,Bronce
236,46,F,Sur,624,Plata
237,20,F,Norte,1592,Bronce
238,37,F,Oeste,691,Bronce
239,53,M,Norte,1445,Plata
240,36,M,Este,401,Bronce
241,43,M,Este,1722,Oro
242,20,F,Sur,471,Plata
243,36,F,Sur,218,Bronce
244,37,F,Sur,929,Bronce
245,49,F,Este,1753,Bronce
246,24,F,Norte,632,Bronce
247,58,M,Norte,951,Bronce
248,50,F,Sur,906,Bronce
249,57,M,Oeste,175,Bronce
250,56,M,Norte,23,Plata
251,35,F,Este,1749,Plata
252,57,M,Centro,235,Plata
253,18,M,Centro,1037,Bronce
254,28,F,Centro,1125,Bronce
255,45,M,Oeste,929,Plata
256,42,F,Sur,1560,Bronce
257,40,M,Este,523,Bronce
258,48,M,Oeste,1809,Plata
259,47,M,Este,1476,Plata
260,59,M,Este,431,Plata
261,52,F,Sur,793,Bronce
262,24,M,Centro,1630,Plata
263,33,F,Sur,1737,Plata
264,43,M,Oeste,533,Plata
265,19,F,Oeste,979,Plata
266,18,F,Oeste,1747,Plata
267,29,F,Sur,1676,Plata
268,22,M,Este,1317,Bronce
269,54,M,Este,810,Plata
270,49,M,Norte,913,Plata
271,26,F,Oeste,1125,Plata
272,58,M,Este,1526,Bronce
273,52,F,Norte,1328,Bronce
274,36,F,Este,871,Oro
275,33,M,Oeste,540,Plata
276,20,F,Centro,1024,Oro
277,37,M,Oeste,1577,Plata
278,41,M,Sur,1379,Plata
279,50,F,Este,1327,Plata
280,41,F,Este,1520,Oro
281,28,F,Sur,1682,Plata
282,25,M,Sur,1792,Plata
283,53,M,Centro,227,Bronce
284,55,F,Este,1260,Bronce
285,57,F,Este,873,Plata
286,37,F,Centro,892,Bronce
287,52,M,Norte,1479,Bronce
288,42,F,Centro,1037,Bronce
289,52,M,Oeste,210,Bronce
290,42,M,Este,741,Bronce
291,46,F,Sur,397,Bronce
292,35,M,Oeste,1124,Oro
293,63,F,Este,31,Plata
294,35,M,Centro,898,Bronce
295,19,M,Oeste,1552,Bronce
296,52,F,Este,649,Plata
297,33,F,Norte,329,Bronce
298,58,F,Norte,1190,Plata
299,53,F,Sur,1483,Plata
300,50,F,Este,952,Plata
301,21,F,Norte,1124,Bronce
302,50,F,Centro,621,Plata
303,31,M,Este,1197,Bronce
304,38,F,Centro,1773,Oro
305,37,M,Centro,162,Plata
306,25,Otro,Norte,1752,Bronce
307,24,F,Este,776,Bronce
308,20,M,Oeste,1287,Bronce
309,34,F,Norte,274,Plata
310,50,F,Norte,1027,Bronce
311,29,M,Este,1052,Plata
312,39,F,Este,326,Bronce
313,39,F,Centro,940,Plata
314,63,M,Este,1173,Plata
315,47,F,Centro,540,Plata
316,55,M,Norte,488,Plata
317,55,F,Sur,822,Bronce
318,62,Otro,Oeste,1462,Bronce
319,25,F,Norte,1089,Plata
320,44,M,Este,356,Bronce
321,44,F,Oeste,1557,Bronce
322,51,F,Sur,1276,Bronce
323,38,M,Sur,235,Bronce
324,47,F,Centro,227,Bronce
325,50,M,Oeste,1549,Oro
326,45,F,Centro,1337,Bronce
327,64,M,Norte,49,Plata
328,50,M,Oeste,118,Bronce
329,22,M,Norte,54,Plata
330,36,F,Centro,1674,Bronce
331,21,M,Oeste,565,Oro
332,52,F,Centro,1068,Oro
333,34,M,Oeste,53,Bronce
334,61,M,Centro,1610,Oro
335,45,F,Sur,558,Oro
336,47,F,Centro,1549,Plata
337,46,M,Sur,1701,Plata
338,63,F,Centro,1126,Bronce
339,23,F,Oeste,1816,Plata
340,52,F,Oeste,1794,Bronce
341,58,M,Oeste,868,Bronce
342,54,M,Este,398,Oro
343,41,F,Norte,1162,Bronce
344,46,M,Oeste,675,Plata
345,63,F,Sur,387,Plata
346,48,F,Oeste,111,Oro
347,52,F,Este,614,Oro
348,50,F,Sur,17,Bronce
349,38,Otro,Este,1804,Bronce
350,49,M,Sur,1206,Bronce
351,40,F,Centro,884,Bronce
352,50,M,Norte,1560,Bronce
353,20,M,Norte,541,Bronce
354,35,F,Este,171,Plata
355,42,F,Norte,409,Plata
356,59,Otro,Este,740,Bronce
357,48,F,Este,1402,Plata
358,20,M,Este,1212,Bronce
359,57,M,Norte,858,Bronce
360,63,F,Este,230,Plata
361,41,M,Norte,119,Plata
362,49,M,Este,1180,Plata
363,64,M,Oeste,784,Bronce
364,39,M,Este,1711,Plata
365,40,M,Sur,465,Plata
366,19,M,Este,104,Plata
367,44,M,Centro,1628,Plata
368,59,M,Este,698,Oro
369,19,Otro,Sur,1819,Plata
370,43,M,Sur,1526,Plata
371,34,M,Norte,1717,Oro
372,57,F,Oeste,1706,Plata
373,50,M,Este,1723,Bronce
374,26,F,Norte,175,Plata
375,60,F,Oeste,1758,Bronce
376,56,M,Este,745,Bronce
377,46,M,Centro,1698,Plata
378,59,F,Este,1445,Oro
379,43,F,Sur,1158,Oro
380,52,M,Sur,1415,Bronce
381,42,F,Centro,1760,Plata
382,41,M,Norte,1525,Bronce
383,30,Otro,Oeste,665,Oro
384,24,M,Este,33,Oro
385,53,F,Sur,55,Plata
386,62,F,Norte,519,Plata
387,37,F,Centro,756,Plata
388,18,F,Sur,1662,Plata
389,25,M,Centro,12,Bronce
390,63,M,Este,1552,Bronce
391,33,M,Oeste,720,Plata
392,31,M,Sur,555,Plata
393,29,F,Sur,373,Bronce
394,40,M,Este,484,Oro
395,32,M,Norte,973,Bronce
396,45,Otro,Oeste,1671,Plata
397,51,F,Sur,1252,Plata
398,19,F,Oeste,623,Plata
399,49,Otro,Sur,307,Plata
400,40,M,Oeste,457,Bronce
401,39,M,Centro,160,Bronce
402,42,F,Sur,331,Plata
403,39,F,Oeste,776,Plata
404,39,M,Norte,225,Bronce
405,59,F,Centro,983,Plata
406,23,M,Centro,729,Bronce
407,32,M,Norte,1528,Plata
408,60,F,Oeste,1480,Plata
409,54,F,Este,1069,Bronce
410,50,F,Norte,1238,Bronce
411,25,M,Oeste,1083,Plata
412,61,F,Norte,644,Plata
413,61,M,Norte,616,Plata
414,22,M,Sur,195,Plata
415,56,F,Oeste,489,Plata
416,21,F,Este,157,Oro
417,23,F,Sur,610,Plata
418,62,F,Norte,1250,Bronce
419,49,F,Norte,412,Bronce
420,47,F,Norte,1229,Bronce
421,64,M,Oeste,1103,Plata
422,52,M,Oeste,1148,Bronce
423,57,M,Sur,471,Oro
424,33,M,Este,1242,Plata
425,30,F,Sur,516,Plata
426,59,F,Centro,1626,Bronce
427,47,M,Norte,1128,Bronce
428,36,M,Norte,393,Bronce
429,34,F,Norte,631,Bronce
430,36,M,Sur,1669,Bronce
431,45,F,Sur,608,Plata
432,43,F,Norte,980,Oro
433,54,F,Sur,434,Oro
434,43,F,Oeste,1355,Plata
435,40,F,Oeste,1167,Bronce
436,26,M,Sur,1824,Oro
437,29,F,Norte,540,Oro
438,18,F,Sur,278,Bronce
439,18,M,Sur,233,Plata
440,64,F,Sur,1553,Bronce
441,51,F,Centro,1595,Plata
442,49,F,Oeste,1114,Oro
443,42,F,Este,1516,Bronce
444,57,F,Este,1223,Oro
445,62,F,Centro,362,Plata
446,18,F,Sur,1465,Oro
447,33,F,Centro,26,Bronce
448,56,F,Centro,1049,Plata
449,22,F,Norte,1418,Bronce
450,39,F,Oeste,507,Bronce
451,46,M,Este,1325,Bronce
452,20,F,Sur,1363,Oro
453,29,F,Este,267,Plata
454,43,M,Este,461,Oro
455,33,F,Oeste,1717,Oro
456,54,M,Este,456,Bronce
457,39,M,Este,1384,Bronce
458,46,F,Centro,1092,Bronce
459,31,M,Oeste,1007,Bronce
460,45,F,Norte,863,Bronce
461,22,F,Sur,1436,Bronce
462,64,F,Este,491,Bronce
463,47,M,Sur,1073,Bronce
464,63,M,Norte,1711,Bronce
465,22,F,Sur,564,Bronce
466,29,Otro,Norte,1126,Oro
467,33,F,Centro,216,Plata
468,43,M,Este,1462,Oro
469,43,F,Norte,1724,Bronce
470,38,F,Sur,1593,Bronce
471,56,F,Este,559,Plata
472,53,M,Centro,159,Bronce
473,50,F,Este,489,Bronce
474,47,F,Norte,686,Bronce
475,54,Otro,Centro,1266,Bronce
476,40,M,Sur,794,Bronce
477,27,F,Centro,1777,Bronce
478,22,F,Centro,5,Plata
479,53,M,Oeste,1620,Bronce
480,51,F,Centro,361,Bronce
481,48,F,Centro,459,Plata
482,27,M,Este,248,Bronce
483,36,M,Sur,1590,Bronce
484,49,F,Este,1697,Oro
485,18,M,Este,946,Bronce
486,22,F,Norte,422,Bronce
487,62,M,Este,1762,Bronce
488,21,F,Oeste,15,Bronce
489,33,M,Oeste,736,Plata
490,41,F,Norte,1597,Plata
491,33,Otro,Sur,1146,Bronce
492,19,Otro,Sur,277,Plata
493,45,F,Este,1582,Plata
494,49,M,Este,453,Bronce
495,44,F,Este,1414,Plata
496,37,M,Sur,1318,Bronce
497,41,M,Centro,1598,Bronce
498,29,M,Oeste,598,Bronce
499,52,F,Centro,446,Bronce
500,50,F,Centro,210,Bronce
501,50,F,Sur,1614,Plata
502,60,M,Centro,714,Bronce
503,54,M,Norte,302,Bronce
504,29,Otro,Este,1247,Bronce
505,20,M,Norte,1758,Plata
506,18,M,Oeste,3,Plata
507,50,M,Este,990,Plata
508,57,F,Centro,1542,Plata
509,27,F,Oeste,1117,Oro
510,60,M,Este,520,Bronce
511,61,M,Centro,1452,Plata
512,46,F,Norte,493,Plata
513,30,F,Este,1259,Oro
514,29,M,Centro,620,Oro
515,48,F,Norte,1185,Bronce
516,63,M,Oeste,1745,Bronce
517,19,M,Oeste,1776,Bronce
518,52,F,Oeste,331,Plata
519,40,M,Oeste,333,Bronce
520,34,F,Sur,50,Bronce
521,43,M,Este,1547,Plata
522,25,M,Este,863,Bronce
523,46,Otro,Sur,1692,Oro
524,43,M,Centro,1516,Bronce
525,27,F,Centro,1606,Bronce
526,43,M,Oeste,1705,Bronce
527,51,M,Norte,272,Plata
528,58,M,Centro,580,Bronce
529,24,F,Norte,1276,Bronce
530,21,M,Este,560,Oro
531,62,F,Norte,696,Bronce
532,28,M,Este,1723,Plata
533,46,Otro,Sur,1114,Plata
534,53,M,Sur,446,Bronce
535,42,F,Oeste,1017,Plata
536,38,F,Centro,1356,Bronce
537,53,F,Oeste,1163,Plata
538,27,F,Este,357,Bronce
539,54,F,Oeste,1625,Plata
540,26,F,Norte,274,Bronce
541,41,M,Este,1043,Plata
542,52,M,Sur,311,Bronce
543,52,F,Centro,870,Bronce
544,53,F,Este,886,Bronce
545,35,F,Este,154,Bronce
546,56,F,Norte,1414,Plata
547,49,M,Centro,1284,Bronce
548,41,M,Sur,620,Oro
549,40,F,Este,883,Oro
550,49,M,Este,797,Plata
551,54,M,Norte,1595,Bronce
552,29,F,Oeste,125,Bronce
553,30,M,Sur,1378,Plata
554,40,F,Centro,1297,Bronce
555,42,M,Este,619,Bronce
556,52,F,Este,245,Plata
557,58,M,Sur,848,Plata
558,47,M,Oeste,450,Plata
559,34,M,Este,930,Bronce
560,37,M,Sur,1271,Plata
561,42,M,Norte,520,Bronce
562,39,M,Oeste,1165,Bronce
563,30,F,Centro,362,Oro
564,36,M,Este,8,Bronce
565,53,F,Sur,478,Bronce
566,29,F,Norte,1376,Bronce
567,58,F,Centro,495,Oro
568,36,M,Sur,1630,Plata
569,29,F,Sur,833,Plata
570,26,M,Centro,1451,Plata
571,24,M,Norte,1063,Bronce
572,45,Otro,Norte,593,Bronce
573,31,M,Oeste,187,Bronce
574,48,F,Este,1620,Bronce
575,36,F,Centro,1624,Bronce
576,64,F,Centro,754,Oro
577,33,F,Centro,93,Bronce
578,22,M,Norte,86,Bronce
579,52,M,Este,1068,Bronce
580,29,F,Oeste,137,Bronce
581,42,M,Sur,421,Oro
582,38,M,Sur,74,Bronce
583,53,M,Centro,1572,Bronce
584,40,M,Este,1637,Plata
585,33,M,Norte,1536,Bronce
586,56,M,Este,1180,Bronce
587,62,F,Este,1279,Bronce
588,59,F,Norte,171,Plata
589,56,F,Centro,1752,Oro
590,31,M,Este,170,Plata
591,48,M,Sur,1788,Bronce
592,22,M,Norte,872,Plata
593,52,F,Oeste,322,Bronce
594,40,F,Centro,1591,Bronce
595,46,M,Norte,456,Bronce
596,60,F,Oeste,944,Bronce
597,28,M,Oeste,1627,Plata
598,35,F,Este,790,Plata
599,64,F,Este,613,Oro
600,29,F,Este,1179,Plata
601,26,F,Norte,889,Plata
602,27,F,Norte,349,Bronce
603,61,M,Centro,1475,Bronce
604,34,F,Este,1677,Plata
605,55,M,Oeste,1197,Bronce
606,24,F,Sur,10,Plata
607,63,F,Centro,740,Bronce
608,30,F,Norte,1289,Bronce
609,57,M,Centro,1462,Bronce
610,59,F,Centro,1784,Bronce
611,26,F,Centro,1271,Bronce
612,44,F,Centro,667,Plata
613,19,M,Sur,546,Bronce
614,22,M,Este,1523,Plata
615,46,M,Oeste,129,Bronce
616,54,M,Centro,1696,Bronce
617,55,F,Centro,601,Bronce
618,36,M,Centro,605,Plata
619,25,Otro,Este,327,Bronce
620,62,M,Norte,1777,Plata
621,18,M,Norte,980,Bronce
622,39,F,Sur,404,Plata
623,34,F,Norte,629,Bronce
624,24,F,Centro,1630,Plata
625,42,F,Centro,1699,Plata
626,62,F,Centro,1635,Oro
627,21,M,Sur,1649,Bronce
628,53,Otro,Centro,1383,Bronce
629,23,Otro,Norte,1627,Bronce
630,48,F,Este,718,Plata
631,36,M,Este,1041,Plata
632,61,F,Oeste,274,Plata
633,56,M,Norte,685,Bronce
634,44,M,Centro,116,Bronce
635,27,M,Este,861,Bronce
636,43,M,Norte,693,Oro
637,36,F,Este,1115,Plata
638,56,F,Centro,1106,Oro
639,20,F,Este,324,Bronce
640,62,M,Oeste,961,Plata
641,30,M,Oeste,114,Plata
642,45,M,Este,1793,Bronce
643,37,Otro,Norte,1082,Plata
644,45,M,Norte,154,Oro
645,25,F,Norte,1428,Oro
646,58,F,Este,1652,Plata
647,56,M,Norte,1290,Bronce
648,18,F,Centro,315,Bronce
649,20,F,Oeste,1739,Oro
650,30,F,Centro,1065,Bronce
651,45,F,Norte,105,Plata
652,42,M,Centro,1217,Plata
653,50,M,Norte,1425,Plata
654,55,F,Este,1302,Oro
655,23,F,Centro,354,Bronce
656,61,M,Este,1016,Bronce
657,62,F,Este,1773,Bronce
658,49,F,Sur,733,Bronce
659,62,F,Norte,1604,Bronce
660,64,M,Oeste,709,Bronce
661,38,F,Norte,1280,Plata
662,33,F,Oeste,651,Oro
663,38,M,Norte,824,Bronce
664,28,M,Este,947,Bronce
665,54,Otro,Centro,661,Oro
666,53,M,Centro,99,Bronce
667,52,F,Sur,588,Bronce
668,36,F,Oeste,282,Bronce
669,37,M,Oeste,403,Plata
670,35,F,Oeste,1133,Bronce
671,64,M,Este,700,Oro
672,58,F,Oeste,199,Bronce
673,31,M,Centro,1327,Plata
674,32,F,Este,327,Bronce
675,48,M,Norte,154,Bronce
676,18,M,Oeste,552,Plata
677,20,Otro,Oeste,1669,Plata
678,33,M,Norte,405,Plata
679,40,F,Oeste,462,Plata
680,28,M,Norte,132,Oro
681,29,F,Este,791,Plata
682,27,M,Centro,874,Plata
683,49,Otro,Norte,84,Bronce
684,33,M,Sur,1423,Bronce
685,25,M,Norte,754,Bronce
686,55,M,Oeste,628,Plata
687,29,M,Este,1133,Bronce
688,41,F,Este,221,Bronce
689,45,M,Norte,553,Oro
690,25,F,Centro,1392,Oro
691,45,M,Sur,1171,Oro
692,53,M,Este,112,Bronce
693,43,F,Oeste,615,Plata
694,25,F,Oeste,1582,Bronce
695,45,M,Centro,924,Bronce
696,45,M,Este,1518,Bronce
697,54,M,Norte,1529,Bronce
698,58,F,Oeste,475,Bronce
699,53,F,Centro,836,Plata
700,44,M,Este,271,Bronce
701,34,F,Este,421,Plata
702,26,F,Este,707,Plata
703,50,F,Este,1391,Bronce
704,37,F,Este,1304,Bronce
705,30,M,Oeste,1307,Bronce
706,45,M,Centro,40,Plata
707,46,M,Este,189,Bronce
708,30,M,Sur,1188,Bronce
709,63,F,Sur,994,Bronce
710,52,F,Centro,1560,Plata
711,23,M,Norte,536,Oro
712,35,M,Norte,1028,Bronce
713,22,M,Norte,290,Plata
714,64,F,Sur,433,Plata
715,42,M,Norte,471,Oro
716,19,F,Oeste,1205,Plata
717,27,M,Este,1272,Plata
718,47,M,Sur,628,Plata
719,62,Otro,Centro,279,Oro
720,22,Otro,Centro,877,Bronce
721,50,M,Este,581,Bronce
722,18,F,Sur,863,Bronce
723,35,F,Norte,254,Plata
724,49,F,Norte,181,Plata
725,64,M,Oeste,681,Bronce
726,28,F,Oeste,825,Plata
727,38,F,Norte,1533,Bronce
728,43,F,Centro,1785,Bronce
729,42,M,Centro,700,Oro
730,39,M,Oeste,566,Bronce
731,44,M,Este,1350,Bronce
732,30,F,Norte,1381,Plata
733,50,M,Oeste,1674,Plata
734,51,F,Oeste,680,Bronce
735,58,Otro,Norte,391,Plata
736,52,M,Norte,1639,Plata
737,18,F,Centro,1109,Bronce
738,38,M,Este,1341,Bronce
739,23,F,Este,212,Plata
740,45,M,Norte,1539,Bronce
741,34,F,Sur,384,Oro
742,22,F,Oeste,1715,Plata
743,48,F,Oeste,342,Oro
744,22,F,Norte,844,Bronce
745,55,F,Sur,1062,Oro
746,20,F,Centro,1535,Bronce
747,40,F,Norte,420,Bronce
748,54,F,Norte,751,Bronce
749,54,M,Oeste,1193,Bronce
750,27,F,Norte,1367,Plata
751,27,F,Norte,306,Bronce
752,36,F,Norte,1566,Bronce
753,34,M,Oeste,702,Plata
754,38,F,Centro,869,Bronce
755,31,M,Centro,537,Plata
756,26,F,Norte,1136,Bronce
757,63,M,Oeste,1435,Plata
758,18,F,Centro,206,Plata
759,62,Otro,Centro,1209,Bronce
760,30,M,Centro,1406,Bronce
761,21,Otro,Oeste,496,Bronce
762,18,M,Oeste,1403,Plata
763,57,F,Norte,1071,Bronce
764,49,F,Este,1764,Bronce
765,51,F,Centro,1575,Bronce
766,45,F,Este,1552,Bronce
767,48,F,Oeste,504,Bronce
768,25,M,Oeste,1046,Plata
769,56,M,Oeste,213,Bronce
770,43,F,Este,310,Bronce
771,51,F,Oeste,661,Plata
772,20,F,Norte,753,Plata
773,29,F,Oeste,272,Bronce
774,18,M,Sur,1595,Bronce
775,61,F,Este,1823,Bronce
776,22,M,Sur,938,Oro
777,47,F,Oeste,1226,Bronce
778,47,M,Norte,32,Oro
779,34,M,Centro,443,Plata
780,64,M,Oeste,162,Plata
781,40,M,Norte,767,Bronce
782,32,F,Este,254,Bronce
783,54,M,Sur,521,Bronce
784,38,M,Sur,977,Bronce
785,31,M,Sur,1675,Plata
786,19,M,Este,1504,Oro
787,28,M,Norte,10,Plata
788,56,M,Este,726,Plata
789,55,F,Sur,505,Bronce
790,51,F,Oeste,785,Bronce
791,55,F,Centro,1584,Bronce
792,51,M,Este,436,Plata
793,35,M,Este,1135,Oro
794,47,F,Norte,153,Plata
795,32,F,Norte,1659,Bronce
796,44,M,Este,917,Bronce
797,51,M,Sur,869,Plata
798,55,M,Centro,1126,Bronce
799,50,M,Norte,753,Plata
800,41,M,Sur,1215,Plata
801,32,F,Oeste,1753,Plata
802,47,F,Norte,563,Bronce
803,59,F,Sur,1105,Bronce
804,34,F,Sur,489,Bronce
805,22,F,Centro,895,Bronce
806,46,F,Centro,1112,Bronce
807,21,F,Oeste,1218,Plata
808,27,M,Sur,104,Plata
809,34,M,Sur,1807,Bronce
810,27,M,Centro,1120,Bronce
811,34,F,Norte,1447,Bronce
812,37,F,Norte,1222,Bronce
813,41,M,Este,1025,Plata
814,22,F,Centro,1007,Bronce
815,51,M,Este,407,Bronce
816,23,F,Centro,1402,Bronce
817,19,M,Oeste,167,Oro
