cliente_id,paginas_vistas_7d,tiempo_sesion_min,visitas_7d,busquedas_7d,items_carrito,abandono_carrito,categoria_favorita
273,89,12.38,3,33,7,0,Ropa
274,111,16.69,11,8,11,1,Libros
275,114,39.12,6,22,7,0,Deportes
276,25,14.48,14,34,14,1,Libros
277,22,26.13,6,49,2,1,Electronica
278,42,17.51,28,6,2,0,Libros
279,76,12.04,21,14,11,1,Ropa
280,27,4.15,25,19,14,0,Hogar
281,8,8.33,20,49,5,0,Deportes
282,19,51.51,16,24,0,0,Libros
283,55,16.08,15,2,3,0,Libros
284,82,12.47,27,45,0,1,Hogar
285,111,40.54,18,23,13,0,Deportes
286,38,13.25,8,33,2,0,Libros
287,50,11.2,13,45,8,0,Libros
288,11,21.36,16,21,13,1,Ropa
289,78,18.71,4,10,13,1,Ropa
290,94,3.22,1,47,4,1,Electronica
291,54,9.56,19,7,11,1,Hogar
292,77,9.59,15,38,4,0,Deportes
293,10,7.13,13,42,10,0,Libros
294,25,10.93,13,34,3,0,Libros
295,41,7.99,26,48,2,0,Electronica
296,26,3.33,0,45,4,1,Libros
297,10,7.97,2,37,14,0,Hogar
298,37,1.13,25,7,13,1,Electronica
299,97,12.86,6,36,10,0,Hogar
300,42,28.83,25,26,3,0,Electronica
301,18,19.38,14,27,7,0,Libros
302,63,6.7,18,39,3,1,Electronica
303,5,1.37,19,33,10,1,Ropa
304,45,3.39,1,31,11,1,Deportes
305,115,11.83,18,14,7,0,Libros
306,101,3.48,8,43,5,1,Deportes
307,112,11.78,18,16,14,0,Libros
308,41,3.95,26,32,13,0,Deportes
309,91,28.35,4,46,11,1,Ropa
310,64,7.59,17,45,10,0,Deportes
311,98,4.23,15,15,4,1,Electronica
312,103,25.1,3,28,3,0,Deportes
313,71,6.3,11,8,3,0,Libros
314,58,1.77,28,32,11,1,Hogar
315,51,12.67,6,48,3,0,Deportes
316,117,13.07,13,28,10,1,Deportes
317,46,18.81,22,12,12,0,Deportes
318,119,4.12,11,20,12,1,Libros
319,6,8.8,2,20,8,0,Deportes
320,10,4.98,4,4,3,0,Libros
321,102,1.27,16,9,11,0,Libros
322,60,31.39,25,5,8,0,Hogar
323,67,19.58,9,12,12,1,Electronica
324,24,5.38,9,0,9,0,Libros
325,11,13.72,10,19,5,0,Ropa
326,25,3.37,16,46,9,0,Deportes
327,101,33.14,4,45,12,0,Ropa
328,109,1.83,12,7,6,1,Deportes
329,11,0.06,9,9,11,1,Hogar
330,42,10.46,8,8,9,0,Libros
331,50,13.12,16,48,2,1,Electronica
332,116,12.98,0,40,7,0,Libros
333,36,0.84,3,2,2,0,Deportes
334,45,5.65,3,10,0,1,Electronica
335,52,10.37,17,11,12,0,Libros
336,87,3.66,8,9,12,1,Electronica
337,79,30.91,29,24,9,1,Deportes
338,12,1.37,24,48,11,0,Hogar
339,88,10.02,28,48,4,1,Hogar
340,117,17.64,28,24,1,1,Libros
341,53,4.55,17,10,9,0,Ropa
342,56,14.68,13,35,13,1,Deportes
343,115,26.53,24,38,5,0,Libros
344,117,3.17,14,25,12,1,Libros
345,3,37.37,5,13,9,1,Hogar
346,74,12.1,23,38,8,0,Electronica
347,95,5.33,9,39,0,0,Deportes
348,48,8.45,28,0,13,1,Electronica
349,6,5.61,14,3,12,0,Deportes
350,109,19.37,28,29,3,0,Ropa
351,10,23.87,3,11,14,0,Hogar
352,91,26.84,17,34,0,0,Ropa
353,53,63.78,17,12,0,0,Libros
354,104,23.5,24,30,7,0,Hogar
355,86,13.8,16,37,13,0,Libros
356,44,6.22,11,42,13,1,Ropa
357,22,11.8,6,22,12,0,Deportes
358,113,0.63,15,3,13,0,Libros
359,27,20.49,10,15,10,0,Electronica
360,106,8.86,13,6,14,0,Deportes
361,110,0.3,2,21,1,0,Deportes
362,56,0.97,18,28,0,0,Ropa
363,25,7.35,17,10,10,0,Ropa
364,24,13.14,29,32,7,1,Hogar
365,53,9.36,9,28,3,1,Hogar
366,28,14.48,5,38,2,1,Electronica
367,82,9.82,12,11,12,1,Deportes
368,96,16.26,9,6,11,1,Electronica
369,35,3.71,17,38,3,0,Electronica
370,13,1.8,25,41,13,1,Ropa
371,77,13.61,19,47,10,0,Electronica
372,34,9.94,25,25,4,1,Electronica
373,29,0.41,15,39,0,1,Libros
374,91,7.18,24,8,14,0,Hogar
375,16,1.68,24,40,13,0,Hogar
376,66,11.37,5,33,10,0,Deportes
377,79,7.56,12,44,0,1,Hogar
378,109,14.25,3,12,2,1,Deportes
379,29,24.57,22,35,5,1,Libros
380,115,5.34,13,24,0,0,Hogar
381,92,49.09,0,23,13,1,Libros
382,44,11.51,27,43,10,0,Hogar
383,78,14.45,19,16,11,1,Hogar
384,109,17.12,4,1,14,0,Libros
385,119,16.48,7,12,1,0,Electronica
386,88,10.73,11,30,14,0,Electronica
387,50,8.4,1,28,11,1,Electronica
388,101,0.83,11,49,13,1,Electronica
389,105,0.34,4,27,6,0,Hogar
390,46,6.65,21,26,13,0,Ropa
391,52,6.09,4,14,13,1,Libros
392,63,7.36,12,30,0,0,Ropa
393,117,2.23,8,39,12,1,Ropa
394,115,20.1,9,14,13,0,Deportes
395,37,29.17,0,32,14,0,Electronica
396,63,41.88,29,19,6,1,Hogar
397,86,10.17,2,41,14,1,Electronica
398,88,18.1,29,11,3,0,Electronica
399,105,29.02,17,36,9,0,Ropa
400,6,8.13,11,8,13,1,Deportes
401,21,5.55,28,22,5,0,Electronica
402,80,41.4,2,7,13,1,Libros
403,81,10.88,25,31,7,0,Libros
404,112,10.32,24,47,8,0,Electronica
405,40,2.95,28,13,5,1,Ropa
406,73,1.72,29,26,11,1,Ropa
407,9,27.69,8,24,10,0,Hogar
408,56,14.28,25,12,12,1,Deportes
409,6,5.91,1,20,14,0,Ropa
410,111,3.19,29,44,13,0,Hogar
411,49,12.16,2,30,8,1,Libros
412,101,13.15,13,36,3,1,Libros
413,90,3.48,3,47,5,1,Libros
414,51,28.6,24,42,7,0,Electronica
415,32,1.32,18,4,8,0,Deportes
416,0,6.6,12,12,2,0,Hogar
417,107,17.11,6,27,1,0,Deportes
418,52,4.81,11,42,5,1,Electronica
419,59,26.38,2,24,3,0,Hogar
420,33,20.2,22,34,0,1,Hogar
421,3,23.34,22,46,7,0,Ropa
422,16,1.9,8,38,8,0,Deportes
423,3,2.27,1,6,13,0,Deportes
424,42,5.06,28,37,8,0,Ropa
425,117,10.95,21,31,1,0,Libros
426,89,20.68,8,2,8,1,Electronica
427,3,27.17,11,44,6,0,Deportes
428,0,18.28,11,38,4,1,Ropa
429,70,39.59,14,36,6,0,Hogar
430,93,20.13,1,49,12,1,Ropa
431,49,5.49,17,21,8,0,Libros
432,72,4.62,12,7,7,1,Electronica
433,60,17.87,13,16,5,0,Libros
434,34,3.21,4,26,12,1,Hogar
435,7,1.46,25,32,3,1,Hogar
436,23,11.4,9,45,12,0,Hogar
437,82,25.86,11,16,14,0,Hogar
438,35,1.6,9,41,0,0,Ropa
439,49,23.55,23,11,5,1,Hogar
440,115,25.04,10,47,2,0,Hogar
441,42,9.87,24,45,5,0,Ropa
442,26,0.89,1,26,5,0,Hogar
443,31,2.88,4,47,13,0,Libros
444,77,18.44,29,7,3,1,Libros
445,17,18.66,6,22,1,0,Deportes
446,27,34.29,5,41,14,1,Libros
447,28,13.11,21,48,8,1,Electronica
448,15,1.99,22,28,1,0,Electronica
449,98,1.94,2,49,2,1,Electronica
450,46,19.16,12,19,9,0,Ropa
451,58,3.05,2,15,0,1,Libros
452,30,5.97,25,16,6,0,Electronica
453,3,10.02,24,15,14,1,Deportes
454,36,0.38,29,18,0,0,Ropa
455,16,4.29,23,7,10,0,Deportes
456,38,7.86,20,37,8,0,Libros
457,47,4.92,5,37,10,0,Hogar
458,45,2.2,10,28,10,1,Deportes
459,89,19.53,27,40,0,0,Hogar
460,47,25.16,25,35,4,1,Ropa
461,38,4.47,16,25,6,0,Deportes
462,104,22.34,9,30,2,1,Deportes
463,3,7.31,11,43,8,0,Ropa
464,29,10.6,16,11,7,0,Ropa
465,29,29.07,3,16,12,0,Electronica
466,21,20.79,1,14,14,1,Libros
467,74,24.53,10,8,2,0,Deportes
468,65,2.21,6,38,14,1,Deportes
469,107,1.08,1,41,4,1,Ropa
470,11,33.58,25,47,6,0,Ropa
471,93,7.36,17,11,11,1,Libros
472,35,5.09,20,31,13,0,Ropa
473,17,19.35,3,24,3,0,Hogar
474,89,27.16,7,38,4,1,Hogar
475,52,29.76,19,17,2,1,Hogar
476,70,5.7,13,14,8,1,Hogar
477,0,28.68,11,31,9,0,Libros
478,57,0.63,21,5,8,0,Deportes
479,89,0.76,20,43,6,0,Hogar
480,86,14.65,26,42,9,1,Ropa
481,89,0.98,29,34,1,0,Hogar
482,108,5.89,17,33,6,1,Libros
483,5,16.76,10,37,6,0,Ropa
484,69,6.17,28,4,10,0,Hogar
485,43,2.97,27,17,4,0,Deportes
486,71,4.96,29,15,8,0,Ropa
487,23,9.18,7,7,12,0,Ropa
488,85,9.68,1,24,11,1,Deportes
489,18,22.92,24,31,10,1,Ropa
490,100,20.8,14,25,2,0,Hogar
491,17,9.15,8,21,3,0,Ropa
492,94,28.03,18,30,0,0,Hogar
493,100,1.82,19,42,5,1,Deportes
494,29,4.42,7,9,3,0,Electronica
495,41,26.4,24,11,0,1,Deportes
496,32,7.12,18,27,1,0,Hogar
497,73,59.59,4,5,14,0,Libros
498,100,9.42,10,19,2,1,Deportes
499,11,23.55,14,4,8,0,Libros
500,117,7.72,7,22,12,0,Libros
501,93,8.3,18,8,7,0,Hogar
502,26,7.24,22,28,6,0,Hogar
503,38,19.05,26,15,12,0,Electronica
504,8,11.9,7,45,14,1,Ropa
505,117,43.18,25,21,10,1,Deportes
506,20,4.33,26,7,11,0,Hogar
507,75,1.59,29,19,13,1,Deportes
508,118,7.49,18,13,3,0,Libros
509,28,14.38,17,38,0,0,Ropa
510,32,29.58,9,36,7,0,Electronica
511,106,6.37,28,49,3,0,Deportes
512,61,15.91,6,33,2,0,Ropa
513,116,6.47,27,10,8,1,Electronica
514,14,14.4,8,39,9,0,Deportes
515,1,32.42,0,32,3,0,Ropa
516,51,3.95,18,30,3,0,Hogar
517,102,7.77,4,43,13,1,Deportes
518,116,75.01,18,33,8,1,Ropa
519,43,30.44,0,49,12,0,Electronica
520,53,12.47,14,6,11,0,Ropa
521,17,10.9,15,48,10,0,Hogar
522,2,5.02,22,22,11,0,Deportes
523,6,10.92,6,45,13,0,Deportes
524,42,28.28,25,6,1,0,Deportes
525,81,17.34,11,24,13,0,Hogar
526,107,5.14,7,2,11,0,Electronica
527,37,3.37,4,37,4,0,Deportes
528,36,4.62,9,19,14,1,Electronica
529,57,2.79,27,33,3,1,Ropa
530,32,1.51,20,48,8,0,Electronica
531,107,8.15,4,43,11,0,Electronica
532,58,1.8,16,43,4,0,Deportes
533,94,2.83,25,29,8,0,Libros
534,10,11.89,4,16,10,1,Libros
535,67,2.7,21,9,8,0,Hogar
536,81,0.99,14,34,13,1,Hogar
537,67,5.73,12,19,1,1,Libros
538,112,3.73,27,17,13,0,Ropa
539,97,10.86,0,44,14,0,Deportes
540,92,1.62,10,43,8,0,Deportes
541,87,20.9,22,26,2,0,Ropa
542,21,35.5,0,48,3,0,Ropa
543,65,20.41,10,35,0,0,Libros
544,43,11.42,17,22,13,1,Hogar
545,5,29.56,17,31,0,0,Ropa
546,41,17.81,20,9,0,0,Hogar
547,24,0.16,29,10,8,1,Electronica
548,118,7.52,25,37,10,1,Deportes
549,56,28.55,15,5,7,0,Libros
550,84,6.37,12,40,4,1,Deportes
551,54,0.54,6,46,4,0,Libros
552,15,20.57,0,33,8,0,Electronica
553,94,24.3,25,35,2,0,Deportes
554,13,2.63,15,36,2,0,Electronica
555,38,11.56,0,16,6,1,Libros
556,27,3.2,16,39,8,1,Ropa
557,95,19.05,5,39,5,1,Deportes
558,91,4.75,1,11,13,0,Electronica
559,50,5.7,16,20,1,0,Deportes
560,118,27.96,5,39,0,0,Deportes
561,48,9.7,13,18,1,0,Deportes
562,8,16.62,17,2,13,1,Hogar
563,57,7.72,5,17,13,1,Electronica
564,44,5.31,9,18,0,0,Electronica
565,21,14.73,23,46,9,0,Deportes
566,31,2.52,17,5,9,0,Ropa
567,68,7.0,26,15,8,0,Deportes
568,86,3.52,8,7,14,0,Hogar
569,68,17.85,7,47,9,0,Libros
570,41,43.29,27,17,14,0,Hogar
571,52,81.09,9,47,11,0,Ropa
572,95,8.98,16,42,13,0,Deportes
573,58,4.37,22,38,12,0,Electronica
574,73,8.77,29,48,7,1,Deportes
575,38,28.19,28,48,14,0,Ropa
576,14,3.46,25,11,6,1,Electronica
577,70,45.58,5,44,14,0,Hogar
578,28,6.28,13,9,2,0,Libros
579,110,63.82,21,6,7,0,Libros
580,2,27.36,21,45,1,0,Deportes
581,82,24.8,5,0,1,1,Hogar
582,9,5.74,25,48,10,0,Ropa
583,91,0.13,6,35,9,1,Libros
584,28,7.22,11,20,2,1,Hogar
585,78,5.39,2,36,6,0,Deportes
586,34,0.57,13,23,0,0,Electronica
587,5,10.56,21,24,7,1,Deportes
588,11,7.74,18,6,11,0,Deportes
589,110,15.1,22,41,6,1,Hogar
590,37,14.56,15,16,3,0,Libros
591,76,1.93,6,28,13,0,Hogar
592,92,56.56,7,29,14,0,Electronica
593,18,3.1,17,6,4,0,Hogar
594,66,8.84,24,32,9,1,Ropa
595,7,10.04,12,6,12,0,Deportes
596,7,25.15,20,23,0,1,Libros
597,118,1.57,8,10,3,0,Electronica
598,83,8.4,9,8,14,0,Deportes
599,46,14.85,20,11,0,0,Hogar
600,3,3.63,22,34,0,0,Ropa
601,50,14.81,26,3,9,0,Hogar
602,84,38.59,8,35,0,0,Deportes
603,66,89.98,14,27,6,1,Electronica
604,44,0.49,19,12,6,0,Libros
605,7,4.03,1,22,3,0,Deportes
606,86,5.57,24,18,14,1,Electronica
607,15,7.64,12,41,12,1,Deportes
608,76,4.16,1,36,11,0,Ropa
609,66,3.41,18,38,1,0,Hogar
610,111,46.37,25,23,11,1,Libros
611,8,37.61,1,15,2,0,Electronica
612,59,0.72,2,32,7,0,Libros
613,77,6.21,5,11,12,0,Libros
614,76,7.79,2,33,7,1,Libros
615,116,4.1,9,6,10,0,Electronica
616,70,14.87,23,10,10,1,Electronica
617,14,15.34,26,30,5,0,Libros
618,70,28.51,5,28,14,1,Hogar
619,101,20.26,22,12,9,0,Deportes
620,97,11.73,15,30,8,0,Libros
621,40,15.9,16,1,10,1,Ropa
622,21,4.8,18,38,11,0,Libros
623,23,13.49,2,14,8,0,Electronica
624,112,10.08,17,10,3,0,Deportes
625,100,2.15,6,33,11,0,Ropa
626,43,4.17,8,38,0,0,Deportes
627,0,5.17,19,3,0,1,Deportes
628,9,38.72,11,10,14,0,Ropa
629,106,3.93,4,28,11,0,Libros
630,79,5.12,2,1,9,0,Libros
631,109,6.92,10,15,14,1,Libros
632,71,16.35,24,38,4,1,Hogar
633,55,1.89,29,12,13,0,Libros
634,112,46.17,3,36,12,0,Ropa
635,88,30.1,4,16,1,1,Hogar
636,49,12.91,0,20,14,0,Libros
637,11,16.81,26,43,5,1,Hogar
638,88,0.25,27,18,6,1,Ropa
639,80,6.21,28,6,0,1,Libros
640,59,23.82,17,37,5,0,Electronica
641,25,1.21,11,7,7,1,Ropa
642,109,4.98,12,12,11,1,Deportes
643,111,13.2,8,36,4,0,Deportes
644,77,4.44,1,1,13,0,Ropa
645,40,40.77,4,40,11,0,Deportes
646,35,2.11,12,10,6,0,Ropa
647,22,23.95,15,23,9,0,Electronica
648,42,10.64,15,5,5,0,Ropa
649,5,20.81,23,25,3,0,Libros
650,110,5.58,2,6,14,0,Libros
651,68,10.84,21,38,14,0,Hogar
652,42,29.16,3,18,6,1,Deportes
653,24,9.44,10,5,9,1,Deportes
654,17,6.69,22,42,8,0,Ropa
655,61,11.52,25,28,9,0,Deportes
656,12,18.95,13,42,9,0,Libros
657,42,8.79,28,38,12,1,Electronica
658,77,41.92,2,1,6,1,Ropa
659,27,5.24,15,18,11,1,Deportes
660,17,9.68,21,3,13,0,Libros
661,58,21.22,14,5,4,1,Hogar
662,59,17.53,27,48,6,0,Deportes
663,62,29.89,9,36,2,1,Electronica
664,56,86.21,8,27,1,0,Electronica
665,91,8.35,10,29,10,1,Deportes
666,50,1.77,15,6,14,0,Deportes
667,55,0.46,9,8,4,1,Libros
