cliente_id,edad,genero,region,antiguedad_dias,nivel_membresia,paginas_vistas_7d,tiempo_sesion_min,visitas_7d,busquedas_7d,items_carrito,abandono_carrito,categoria_favorita,compras_30d,compras_90d,ticket_promedio,devolucion_30d,calificacion_promedio,descuento_usado,comprara,genero_cod,membresia_cod,region_cod,categoria_cod
44,21,F,Oeste,1373,Bronce,104,8.84,26,2,1,0,Deportes,7,7,115.78,1,2.5,0,1,1,0,4,3
45,42,M,Oeste,1750,Bronce,117,1.32,5,38,9,0,Electronica,6,17,49.37,0,2.5,0,1,0,0,4,0
46,31,F,Sur,683,Plata,41,17.22,13,13,9,0,Electronica,3,2,55.39,0,4.9,0,0,1,1,1,0
47,26,F,Centro,1590,Bronce,46,4.03,24,27,6,0,Libros,0,16,22.45,1,2.2,1,0,1,0,2,4
48,43,M,Oeste,906,Plata,36,43.12,10,10,1,0,Libros,0,7,148.42,0,2.1,0,0,0,1,4,4
49,19,M,Oeste,320,Plata,117,30.75,7,38,0,1,Hogar,3,9,223.96,0,1.5,1,1,0,1,4,2
50,37,F,Sur,126,Plata,79,5.13,7,24,6,0,Libros,4,1,88.13,0,3.0,0,1,1,1,1,4
51,45,F,Sur,277,Bronce,108,22.93,0,20,4,1,Deportes,3,11,43.68,1,1.6,0,0,1,0,1,3
52,64,F,Oeste,1228,Plata,21,24.39,20,9,0,0,Libros,6,5,23.38,0,3.5,0,0,1,1,4,4
53,24,F,Norte,194,Bronce,56,64.65,6,42,14,1,Deportes,5,1,34.65,0,1.6,1,1,1,0,0,3
54,61,F,Oeste,1705,Bronce,83,13.66,5,14,3,0,Libros,3,2,33.59,0,3.3,1,0,1,0,4,4
55,25,M,Oeste,1688,Oro,113,1.28,20,18,11,0,Libros,1,16,86.06,0,4.3,1,1,0,2,4,4
56,64,M,Sur,1571,Plata,106,15.61,7,47,12,0,Libros,5,6,242.09,0,1.2,0,1,0,1,1,4
57,52,M,Sur,696,Bronce,26,14.71,18,21,3,0,Ropa,3,4,13.96,0,2.7,1,0,0,0,1,1
58,31,F,Oeste,1310,Bronce,40,15.26,21,20,9,0,Ropa,0,0,10.08,0,2.8,1,1,1,0,4,1
59,34,M,Oeste,57,Bronce,79,5.5,20,43,6,1,Libros,2,7,83.34,0,4.2,0,1,0,0,4,4
60,53,F,Oeste,1758,Bronce,33,29.46,23,31,8,1,Deportes,1,11,36.73,0,2.9,0,1,1,0,4,3
61,57,F,Sur,1327,Bronce,31,48.09,19,49,1,0,Hogar,6,13,179.99,0,3.3,0,0,1,0,1,2
62,21,F,Oeste,1187,Bronce,89,3.68,7,22,11,0,Electronica,1,15,41.71,0,4.2,1,1,1,0,4,0
63,19,M,Oeste,19,Bronce,88,1.38,25,12,13,0,Ropa,7,9,37.37,0,3.2,0,1,0,0,4,1
64,23,F,Este,1394,Plata,65,3.25,13,4,0,0,Libros,4,14,35.12,0,2.4,1,0,1,1,3,4
65,59,M,Norte,264,Plata,11,25.77,17,3,1,0,Electronica,2,14,22.52,0,1.3,0,1,0,1,0,0
66,21,F,Centro,794,Plata,39,16.94,24,27,6,1,Ropa,1,9,79.69,0,3.9,0,1,1,1,2,1
67,46,M,Norte,113,Bronce,72,15.16,28,13,12,1,Hogar,7,6,24.73,0,4.5,0,1,0,0,0,2
68,35,M,Este,1512,Oro,75,7.71,15,7,9,1,Deportes,3,2,54.22,0,4.9,1,1,0,2,3,3
69,43,F,Centro,1351,Plata,89,12.94,8,8,5,0,Libros,1,1,59.44,0,4.7,0,0,1,1,2,4
70,61,M,Oeste,542,Plata,72,5.52,14,34,3,1,Hogar,1,5,11.66,0,4.2,0,0,0,1,4,2
71,51,M,Este,647,Plata,9,9.73,29,36,0,1,Ropa,1,8,11.36,0,3.6,1,0,0,1,3,1
72,27,F,Oeste,579,Oro,95,23.63,25,20,12,0,Libros,4,9,68.75,0,4.1,0,1,1,2,4,4
73,53,F,Sur,1089,Plata,97,59.64,9,17,0,0,Electronica,1,3,105.27,1,2.7,0,0,1,1,1,0
74,31,F,Este,1316,Bronce,47,40.43,28,32,4,1,Deportes,1,2,237.98,0,3.4,0,0,1,0,3,3
75,48,F,Sur,25,Plata,19,40.74,21,7,14,0,Ropa,4,8,25.79,0,2.4,0,1,1,1,1,1
76,32,F,Este,1573,Plata,38,7.72,15,48,0,0,Deportes,7,16,18.72,0,2.3,0,0,1,1,3,3
77,25,M,Este,1,Plata,59,9.49,3,16,11,0,Libros,5,13,14.28,0,4.0,0,1,0,1,3,4
78,31,M,Sur,911,Plata,65,18.34,19,42,14,0,Hogar,2,9,55.82,0,2.8,0,1,0,1,1,2
79,40,M,Centro,1573,Bronce,64,38.3,12,30,6,0,Deportes,7,12,88.07,0,1.8,0,1,0,0,2,3
80,57,F,Norte,141,Bronce,50,2.3,21,33,12,1,Electronica,6,11,156.88,0,1.8,1,1,1,0,0,0
81,38,F,Oeste,1768,Oro,35,5.44,4,5,10,1,Ropa,5,0,101.82,0,4.4,0,0,1,2,4,1
82,33,M,Este,648,Plata,23,2.25,21,21,0,1,Electronica,0,18,28.69,0,3.7,0,0,0,1,3,0
83,62,M,Oeste,188,Plata,117,14.2,6,13,0,0,Deportes,4,18,59.56,0,3.2,0,1,0,1,4,3
84,35,F,Sur,1152,Bronce,26,5.49,22,2,1,1,Hogar,4,5,202.94,0,2.6,0,1,1,0,1,2
85,64,M,Oeste,201,Bronce,1,5.92,8,11,12,0,Hogar,1,12,41.65,1,2.7,1,0,0,0,4,2
86,41,F,Sur,1151,Oro,30,1.1,7,35,13,0,Electronica,1,18,65.25,0,1.2,1,1,1,2,1,0
87,43,F,Oeste,257,Plata,56,6.46,28,11,10,0,Libros,6,12,264.69,0,2.8,0,1,1,1,4,4
88,42,F,Norte,1700,Plata,77,29.76,15,44,11,0,Libros,0,3,116.15,0,4.2,1,1,1,1,0,4
89,62,M,Norte,547,Bronce,65,3.98,5,1,9,0,Hogar,1,1,120.18,0,2.6,0,0,0,0,0,2
90,58,F,Norte,194,Plata,28,17.82,27,1,2,0,Electronica,3,14,33.26,0,2.5,1,1,1,1,0,0
91,46,F,Norte,703,Bronce,14,14.9,15,14,12,0,Electronica,1,11,52.85,0,1.1,1,1,1,0,0,0
92,32,F,Norte,1128,Plata,11,29.87,5,22,10,0,Electronica,1,6,16.87,0,2.8,1,0,1,1,0,0
93,62,F,Norte,1559,Bronce,100,2.13,13,28,14,1,Deportes,3,19,84.62,1,1.1,0,1,1,0,0,3
94,18,F,Sur,1289,Bronce,27,56.97,20,16,0,0,Libros,0,17,18.76,0,3.3,0,0,1,0,1,4
95,42,F,Este,802,Plata,83,13.11,0,31,14,1,Libros,3,12,154.59,0,3.0,0,0,1,1,3,4
96,24,M,Oeste,942,Oro,102,80.97,24,6,8,0,Deportes,4,16,144.8,0,4.4,0,1,0,2,4,3
97,26,F,Norte,1408,Bronce,23,36.37,8,29,9,0,Ropa,3,3,71.02,1,3.3,0,0,1,0,0,1
98,41,F,Sur,1284,Plata,20,3.76,24,27,7,1,Deportes,2,13,22.17,0,2.3,1,0,1,1,1,3
99,18,M,Sur,414,Bronce,9,0.87,26,13,4,0,Electronica,4,19,12.07,0,3.1,0,1,0,0,1,0
100,61,F,Sur,1382,Bronce,109,4.43,23,43,12,0,Deportes,1,12,137.45,1,3.8,1,0,1,0,1,3
101,25,F,Este,1099,Bronce,77,11.25,12,29,10,1,Electronica,6,2,83.33,0,1.4,1,0,1,0,3,0
102,41,F,Oeste,1379,Bronce,100,2.82,25,16,1,0,Hogar,4,17,109.29,0,3.5,1,1,1,0,4,2
103,28,M,Este,1608,Plata,17,2.75,28,31,4,1,Electronica,0,13,38.97,0,4.7,0,1,0,1,3,0
104,34,M,Centro,1795,Bronce,87,9.32,18,45,5,0,Libros,0,14,66.98,1,2.2,0,1,0,0,2,4
105,25,Otro,Sur,910,Bronce,13,0.51,16,5,13,0,Deportes,3,2,120.0,0,3.5,1,0,2,0,1,3
106,52,F,Centro,188,Oro,33,1.95,10,23,14,0,Electronica,4,0,59.68,0,4.3,1,1,1,2,2,0
107,52,M,Norte,1709,Bronce,57,8.06,27,5,0,0,Ropa,1,16,83.58,0,3.0,1,1,0,0,0,1
108,50,F,Norte,1314,Plata,75,0.98,27,26,10,1,Hogar,0,2,134.75,0,3.9,1,1,1,1,0,2
109,22,F,Este,45,Bronce,21,7.58,7,17,3,1,Ropa,5,13,29.39,1,2.2,0,0,1,0,3,1
110,59,F,Oeste,1597,Plata,119,9.64,22,23,8,0,Ropa,1,2,15.46,0,2.2,0,1,1,1,4,1
111,56,F,Centro,83,Bronce,69,9.0,28,36,1,0,Ropa,5,12,70.71,0,3.7,0,1,1,0,2,1
112,58,M,Oeste,1147,Bronce,35,30.51,4,23,4,1,Hogar,2,14,15.13,1,3.8,1,0,0,0,4,2
113,45,M,Este,358,Bronce,44,11.33,9,37,0,0,Hogar,5,17,126.39,0,4.7,1,0,0,0,3,2
114,24,M,Norte,1552,Bronce,35,9.47,6,33,3,0,Hogar,7,13,111.61,0,1.9,1,0,0,0,0,2
115,26,F,Oeste,1090,Bronce,21,7.93,9,39,3,0,Hogar,0,2,180.77,1,2.9,1,0,1,0,4,2
116,25,M,Oeste,936,Plata,77,25.53,3,46,5,0,Ropa,3,18,91.63,0,2.0,1,1,0,1,4,1
117,29,M,Norte,1681,Oro,79,33.82,8,14,9,1,Libros,2,7,15.56,0,1.3,0,1,0,2,0,4
118,51,M,Centro,375,Plata,60,28.78,26,10,8,1,Libros,4,3,33.35,0,2.6,0,1,0,1,2,4
119,50,F,Norte,162,Plata,99,16.79,25,21,2,0,Hogar,1,3,141.99,0,2.5,1,1,1,1,0,2
120,40,F,Oeste,1770,Bronce,55,2.22,13,23,8,0,Deportes,0,18,24.63,1,2.1,0,0,1,0,4,3
121,41,M,Centro,1404,Bronce,88,4.86,1,0,5,0,Electronica,2,10,105.91,0,2.2,0,1,0,0,2,0
122,54,M,Centro,1680,Bronce,95,0.71,24,17,6,0,Deportes,2,0,131.22,0,2.4,0,1,0,0,2,3
123,52,F,Norte,1382,Bronce,32,40.07,8,43,11,0,Deportes,7,7,42.05,0,5.0,0,1,1,0,0,3
124,61,M,Oeste,1212,Plata,44,16.22,20,11,9,1,Deportes,0,14,41.12,0,4.1,0,0,0,1,4,3
125,57,M,Este,322,Plata,35,20.58,26,42,1,0,Libros,4,0,75.28,0,1.3,1,0,0,1,3,4
126,39,M,Oeste,450,Bronce,19,5.6,0,27,10,0,Electronica,4,6,168.03,0,4.5,1,1,0,0,4,0
127,44,M,Sur,1498,Bronce,17,28.03,22,39,9,0,Deportes,3,19,30.28,1,3.5,1,1,0,0,1,3
128,52,M,Este,1037,Plata,37,4.51,9,6,13,0,Hogar,6,19,236.77,0,4.6,0,1,0,1,3,2
129,18,F,Centro,184,Plata,66,0.02,9,22,5,0,Libros,5,10,83.13,0,2.4,1,0,1,1,2,4
130,52,M,Este,111,Bronce,22,7.08,19,20,5,1,Hogar,4,13,397.54,0,2.9,1,0,0,0,3,2
131,54,F,Centro,508,Oro,95,12.69,24,33,1,0,Hogar,7,15,17.51,0,4.6,1,1,1,2,2,2
132,64,M,Centro,1314,Oro,108,9.77,21,10,1,1,Deportes,3,13,20.83,0,2.1,1,1,0,2,2,3
133,31,F,Este,295,Bronce,15,29.72,28,21,13,0,Hogar,5,11,150.19,0,4.7,1,1,1,0,3,2
134,20,F,Centro,1475,Bronce,58,1.67,2,41,1,0,Electronica,2,16,170.05,0,4.3,0,0,1,0,2,0
135,18,M,Centro,904,Plata,68,12.11,5,34,9,0,Hogar,0,13,57.17,0,4.9,1,0,0,1,2,2
136,22,F,Sur,1239,Oro,67,10.79,28,28,11,0,Deportes,4,9,110.16,0,2.3,0,1,1,2,1,3
137,43,M,Oeste,974,Oro,20,4.96,25,41,0,0,Hogar,3,13,171.73,1,1.9,0,0,0,2,4,2
138,31,Otro,Oeste,632,Bronce,103,25.91,5,27,4,0,Libros,2,17,13.53,0,2.3,1,1,2,0,4,4
139,56,M,Sur,1591,Bronce,114,20.97,20,17,7,1,Libros,4,8,78.26,0,4.8,0,0,0,0,1,4
140,44,M,Este,1051,Plata,77,19.8,1,13,1,1,Libros,1,16,163.65,0,2.3,0,0,0,1,3,4
141,26,M,Norte,1654,Plata,102,31.34,25,17,12,0,Ropa,6,5,50.62,0,3.3,1,1,0,1,0,1
142,32,Otro,Norte,733,Bronce,94,19.24,25,27,14,0,Libros,2,7,38.81,0,2.6,1,1,2,0,0,4
143,32,F,Norte,1255,Oro,77,3.96,17,23,4,0,Libros,7,12,137.06,0,2.6,0,0,1,2,0,4
144,43,F,Sur,1589,Plata,69,18.34,22,7,11,0,Ropa,7,17,42.73,0,1.8,1,1,1,1,1,1
145,59,M,Sur,321,Plata,11,5.52,1,41,7,0,Libros,4,4,10.25,0,3.1,0,0,0,1,1,4
146,30,F,Centro,913,Oro,15,4.16,11,44,9,1,Deportes,7,5,266.66,0,4.4,0,1,1,2,2,3
147,49,M,Norte,1257,Plata,80,1.14,21,7,13,0,Libros,2,18,81.74,0,1.2,0,1,0,1,0,4
148,56,F,Este,1694,Bronce,108,20.44,4,3,4,0,Libros,0,3,146.97,0,4.6,0,0,1,0,3,4
149,49,M,Este,437,Plata,86,18.62,19,26,1,0,Ropa,0,6,149.58,0,3.7,0,0,0,1,3,1
150,21,M,Norte,781,Bronce,13,4.01,6,35,2,0,Deportes,6,3,15.5,0,3.5,0,0,0,0,0,3
151,47,M,Norte,1557,Plata,60,20.76,23,4,14,1,Hogar,0,10,24.99,0,3.5,1,1,0,1,0,2
152,54,M,Norte,1427,Bronce,70,37.49,15,32,5,0,Electronica,5,11,39.82,0,2.2,1,1,0,0,0,0
153,40,F,Sur,1077,Plata,45,1.71,19,48,10,0,Deportes,1,13,40.94,0,2.7,1,1,1,1,1,3
154,56,M,Sur,1811,Bronce,31,3.97,0,33,10,1,Hogar,0,12,96.02,0,4.2,1,0,0,0,1,2
155,62,F,Sur,1337,Bronce,14,20.81,0,29,4,0,Deportes,7,9,88.07,0,2.2,0,0,1,0,1,3
156,32,M,Oeste,1305,Bronce,43,4.81,16,7,10,1,Hogar,1,17,64.59,0,2.9,1,1,0,0,4,2
157,60,F,Este,726,Bronce,16,14.7,26,38,3,0,Hogar,0,15,28.99,1,1.1,1,1,1,0,3,2
158,46,M,Este,31,Plata,40,1.27,0,46,3,0,Deportes,5,4,48.5,0,3.9,0,0,0,1,3,3
159,53,M,Centro,337,Plata,53,9.03,20,25,4,1,Ropa,7,7,72.75,0,2.7,0,0,0,1,2,1
160,30,F,Sur,183,Plata,110,20.15,19,36,1,0,Deportes,2,13,60.49,0,3.1,1,1,1,1,1,3
161,49,M,Oeste,1047,Bronce,43,17.4,12,33,8,0,Deportes,4,4,20.89,0,1.5,1,1,0,0,4,3
162,24,M,Oeste,544,Bronce,97,25.32,29,6,1,0,Hogar,4,7,93.87,0,5.0,1,0,0,0,4,2
163,39,F,Este,1470,Bronce,4,31.49,8,39,9,0,Electronica,0,5,16.07,0,2.2,0,1,1,0,3,0
164,45,F,Sur,1098,Bronce,108,22.25,14,27,1,1,Hogar,4,15,48.01,0,3.5,0,0,1,0,1,2
165,19,M,Centro,1034,Oro,26,16.7,2,38,9,1,Libros,0,3,109.04,0,3.3,1,0,0,2,2,4
166,59,M,Sur,1508,Bronce,115,0.48,13,38,13,1,Deportes,0,11,11.62,0,4.1,1,0,0,0,1,3
167,62,F,Norte,1480,Bronce,86,11.48,22,27,8,1,Deportes,7,10,77.51,0,2.2,0,1,1,0,0,3
168,23,M,Sur,1590,Bronce,103,0.58,10,13,13,0,Ropa,6,2,42.58,0,4.0,0,1,0,0,1,1
169,45,M,Norte,1588,Bronce,77,24.76,23,49,2,0,Hogar,3,11,10.71,0,2.5,1,1,0,0,0,2
170,45,M,Norte,660,Plata,78,5.8,21,37,14,0,Ropa,3,4,26.9,0,2.6,1,1,0,1,0,1
171,61,F,Centro,160,Plata,42,12.4,11,3,9,0,Deportes,6,5,236.34,0,3.7,0,0,1,1,2,3
172,61,F,Este,1038,Bronce,96,4.92,12,41,6,0,Hogar,3,18,68.91,0,4.1,0,1,1,0,3,2
173,37,M,Sur,1202,Bronce,116,22.88,25,17,3,1,Hogar,1,17,481.03,0,3.7,1,1,0,0,1,2
174,47,M,Norte,412,Bronce,30,32.64,12,43,12,0,Libros,3,15,69.52,0,4.6,1,1,0,0,0,4
175,28,M,Sur,1012,Bronce,98,7.63,0,47,12,0,Libros,0,10,72.81,0,2.1,0,1,0,0,1,4
176,45,F,Este,53,Bronce,16,29.81,23,24,5,0,Electronica,5,4,49.79,0,4.6,0,1,1,0,3,0
177,42,M,Este,408,Oro,91,4.66,9,6,13,1,Libros,5,8,39.69,1,1.5,1,1,0,2,3,4
178,56,M,Oeste,847,Plata,82,11.47,2,37,3,1,Hogar,2,2,33.18,0,3.6,0,0,0,1,4,2
179,50,F,Este,1046,Plata,109,29.36,23,27,9,1,Libros,7,7,43.66,0,3.2,1,1,1,1,3,4
180,18,M,Centro,1054,Bronce,53,5.92,27,4,14,0,Electronica,3,5,59.27,0,3.0,1,1,0,0,2,0
181,44,F,Norte,703,Bronce,61,46.2,3,2,6,1,Deportes,5,3,27.05,0,2.2,0,0,1,0,0,3
182,30,M,Oeste,260,Plata,86,1.95,15,43,0,0,Libros,3,11,30.38,0,3.0,1,1,0,1,4,4
183,58,M,Centro,1229,Plata,31,0.28,7,30,2,1,Hogar,7,11,35.35,1,1.6,1,0,0,1,2,2
184,20,M,Sur,1083,Plata,39,35.17,15,46,12,0,Deportes,2,15,57.72,0,2.5,1,1,0,1,1,3
185,56,F,Norte,1495,Bronce,12,1.07,26,41,2,0,Hogar,5,9,94.63,1,1.4,0,0,1,0,0,2
186,23,F,Este,776,Plata,83,72.22,16,19,0,0,Deportes,0,13,165.12,0,3.3,1,1,1,1,3,3
187,25,F,Norte,1490,Bronce,34,45.36,18,18,5,1,Hogar,1,12,37.08,0,1.4,0,0,1,0,0,2
188,44,M,Sur,1036,Oro,4,2.21,21,47,14,0,Libros,6,8,26.24,0,1.6,1,1,0,2,1,4
189,26,F,Oeste,1655,Plata,72,11.57,14,10,12,1,Libros,6,6,48.09,0,1.3,1,1,1,1,4,4
190,54,M,Oeste,1314,Plata,28,3.07,15,39,10,0,Electronica,6,11,189.83,0,2.5,0,1,0,1,4,0
191,50,M,Oeste,850,Bronce,69,8.38,14,2,13,0,Deportes,3,4,10.79,0,4.4,1,1,0,0,4,3
192,59,F,Este,1784,Plata,24,0.95,24,22,8,0,Electronica,5,17,100.62,0,4.6,1,1,1,1,3,0
193,61,M,Centro,354,Bronce,94,3.8,1,6,7,0,Ropa,7,3,61.88,0,1.3,0,1,0,0,2,1
194,41,M,Centro,1663,Bronce,21,6.77,10,22,10,0,Libros,7,1,24.05,0,3.5,0,0,0,0,2,4
195,32,M,Norte,1099,Bronce,65,8.66,0,6,6,0,Deportes,5,2,40.97,0,3.7,1,0,0,0,0,3
196,49,M,Este,873,Plata,44,56.91,14,45,9,1,Electronica,2,11,30.39,1,3.1,0,0,0,1,3,0
197,49,M,Oeste,1740,Bronce,68,24.74,25,33,7,0,Electronica,0,2,178.19,0,3.7,0,1,0,0,4,0
198,41,F,Oeste,1585,Bronce,90,20.06,18,41,5,1,Ropa,4,3,62.6,0,1.9,1,1,1,0,4,1
199,58,M,Sur,1615,Oro,88,11.55,3,18,8,0,Electronica,5,5,76.24,1,3.0,1,0,0,2,1,0
200,29,F,Sur,1465,Bronce,71,27.49,10,8,2,1,Hogar,1,11,82.05,0,2.6,1,0,1,0,1,2
201,56,F,Oeste,991,Plata,118,6.22,4,47,14,0,Libros,2,18,91.65,0,1.4,0,1,1,1,4,4
202,19,M,Oeste,1265,Bronce,0,18.51,2,17,9,0,Electronica,5,9,64.74,0,3.5,0,0,0,0,4,0
203,20,M,Este,1018,Bronce,83,76.21,12,40,9,0,Electronica,5,0,11.44,0,3.0,0,1,0,0,3,0
204,54,M,Centro,1178,Plata,43,5.67,9,47,8,0,Ropa,2,16,42.6,0,2.1,1,0,0,1,2,1
205,34,F,Sur,1810,Bronce,86,16.81,10,44,3,1,Hogar,2,15,26.25,0,2.9,1,0,1,0,1,2
206,19,M,Centro,1120,Bronce,95,27.9,17,41,6,0,Electronica,3,8,101.19,0,4.1,0,0,0,0,2,0
207,19,F,Este,1750,Plata,74,37.12,1,24,14,0,Libros,5,8,14.67,0,4.2,0,1,1,1,3,4
208,45,M,Oeste,294,Plata,38,18.98,6,13,12,1,Libros,4,8,76.37,1,3.6,1,0,0,1,4,4
209,40,F,Centro,209,Plata,110,5.0,8,43,8,0,Electronica,1,11,28.92,0,2.9,1,0,1,1,2,0
210,54,M,Oeste,1367,Bronce,53,5.92,9,24,1,1,Hogar,0,8,247.83,0,3.3,0,0,0,0,4,2
211,49,M,Oeste,1112,Bronce,87,0.31,17,18,1,0,Libros,0,14,42.7,0,2.5,1,0,0,0,4,4
212,50,F,Norte,818,Plata,74,21.46,22,38,8,1,Libros,4,1,41.47,0,1.5,0,1,1,1,0,4
213,18,F,Centro,1800,Plata,28,0.66,6,14,11,0,Hogar,7,10,215.52,1,2.5,1,1,1,1,2,2
214,36,M,Centro,390,Plata,53,30.0,26,15,12,0,Hogar,2,10,53.21,0,3.1,1,1,0,1,2,2
215,19,F,Oeste,325,Plata,89,1.89,6,26,2,0,Electronica,2,7,273.45,1,3.4,1,0,1,1,4,0
216,61,F,Este,940,Plata,15,2.83,2,39,8,1,Deportes,7,5,11.96,0,4.7,0,0,1,1,3,3
217,43,F,Norte,889,Bronce,98,9.71,11,9,12,0,Ropa,2,19,39.26,0,4.1,0,1,1,0,0,1
218,49,F,Oeste,1181,Bronce,19,20.08,6,3,14,0,Deportes,7,6,97.78,0,1.6,1,1,1,0,4,3
219,23,M,Sur,668,Plata,45,2.24,16,18,4,1,Deportes,5,2,187.21,1,1.7,0,0,0,1,1,3
220,49,M,Sur,1675,Bronce,66,8.7,25,27,5,1,Libros,7,7,33.7,0,1.4,1,1,0,0,1,4
221,21,M,Norte,633,Bronce,64,9.89,0,20,1,1,Hogar,2,17,223.29,0,4.0,1,0,0,0,0,2
